username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Trophy Husband,233139039,The Mile High City,2011-01-02 11:48:29,@SenRickScott But climate change you don’t care about right? Or student debt? And you wanna raise the voting age? I… https://t.co/J469LmDQ81,0,Twitter for iPhone,
"Susan Noble, Commerce City Councilmember",1375139876463648772,"Commerce City, CO",2021-03-25 17:38:21,@DenverChannel @RussellHaythorn Denver doesn’t have a corner on this market. Now forecast calls for more snow tomor… https://t.co/g9MjVeyXAE,0,Twitter for iPhone,
Manka,1079648520817135616,"Denver, CO",2018-12-31 08:00:41,"@ColinCowherd “People should poop less to combat climate change”, say’s scientists at University Of Nogoodforanything!",0,Twitter for iPhone,
rainer,1448397724450181129,"Denver, CO",2021-10-13 21:18:41,@POTUS It is not just climate change - biodiversity. Converging crises. Both demand a quick and serious response,0,Twitter for Mac,
Max the propaganda seal.Arf,1468816464706637827,,2021-12-09 05:35:25,"@daddytadams The world isn’t as crazy as they make it out to be, climate has been changing on earth for billions of… https://t.co/ZGys98Y0vX",0,Twitter for iPhone,
CUJO.,220881148,"Denver, CO",2010-11-29 03:11:47,Was waiting for them to blame climate change. Again. https://t.co/3RmTWEByfD,0,Twitter for Android,
Julie Starr,18637420,"Arvada, Colorado",2009-01-05 17:13:57,Winter Warm Spell Stifles Skiing in Swiss Alps https://t.co/I258AJx8PP,0,Sprout Social,
Western Priorities,772107908,"Denver, Colorado",2012-08-21 19:27:14,All of the progress Biden has made on #climatechange depends on his administration finishing agency rulemakings in… https://t.co/lpa3c5S8jT,0,TweetDeck,
Joseph Linscott,555090560,"Denver, CO",2012-04-16 12:36:35,@TheLincoln Definitely noticed this when I’d start teaching research paper units to high schoolers. Rudimentary sea… https://t.co/8IZNT0uZVV,0,Twitter Web App,
Gus,237572596,"Denver, CO",2011-01-13 03:59:08,All the while NATO with their gender studies and climate change fanaticism. Led by former anti-war leftists. Led by… https://t.co/gKUfIJGq6g,0,Twitter Web App,
Ben Wilson,244222284,"Denver, CO",2011-01-28 20:32:12,@increasinglysus @VegaEd3 @robhughesyyc @EndWokeness If you don’t believe in climate change then you don’t get a vo… https://t.co/0bbld52bEo,0,Twitter for iPad,
mayorpaulcc,1168929589659230208,"Denver, CO",2019-09-03 16:52:06,@nbreavington Biggest scam is climate change.   Biggest attempt at complete control of our country was covid,0,Twitter for iPad,
United Green Energy,1580596287325368320,"Lakewood, Colorado",2022-10-13 16:28:22,Anaerobic digestion is an effective tool in combating climate change because digesters capture methane and allow us… https://t.co/gSXAFCrkSt,0,Hootsuite Inc.,
Rocky Mountain Wild,89330439,"Denver, CO",2009-11-12 00:45:40,Moving species to save them as a last resort may start to happen as climate change upends habitats. Read more: https://t.co/7aJr6wBezy,0,TweetDeck,
Jane Feldman,428366900,"Denver, CO",2011-12-04 17:37:16,"@SenateGOP and lower drug prices, lower Medicare premiums, higher social security payments, lower health care costs… https://t.co/HJWpRt0qb9",20,Twitter Web App,
Andrew Fingland,4207863374,"Denver, CO",2015-11-12 02:46:15,The NAIC has developed a concern with the US Treasury Department’s methods of collecting insurance data. Learn more… https://t.co/syCdZE8LHv,0,Dynamic Signal,
